,silhouettes,ag/ag_i2_hor,ag/ag_i4_hor,ag/ag_i6_hor,ag/ag_i8_hor,ag/ag_i10_hor,ag/ag_i12_hor,ag/ag_i14_hor,ag/ag_i16_hor,ag/ag_i18_hor,ag/ag_i20_hor,ag/ag_i22_hor,ag/ag_i24_hor,ag/ag_i26_hor,ag/ag_i28_hor,ag/ag_i30_hor,ag/ag_i32_hor,ag/ag_i2_ver,ag/ag_i4_ver,ag/ag_i6_ver,ag/ag_i8_ver,ag/ag_i10_ver,ag/ag_i12_ver,ag/ag_i14_ver,ag/ag_i16_ver,ag/ag_i18_ver,ag/ag_i20_ver,ag/ag_i22_ver,ag/ag_i24_ver,ag/ag_i26_ver,ag/ag_i28_ver,ag/ag_i30_ver,ag/ag_i32_ver,ag/ag_i2_ul,ag/ag_i4_ul,ag/ag_i6_ul,ag/ag_i8_ul,ag/ag_i10_ul,ag/ag_i12_ul,ag/ag_i14_ul,ag/ag_i16_ul,ag/ag_i18_ul,ag/ag_i20_ul,ag/ag_i22_ul,ag/ag_i24_ul,ag/ag_i26_ul,ag/ag_i28_ul,ag/ag_i30_ul,ag/ag_i32_ul,ag/ag_i2_ur,ag/ag_i4_ur,ag/ag_i6_ur,ag/ag_i8_ur,ag/ag_i10_ur,ag/ag_i12_ur,ag/ag_i14_ur,ag/ag_i16_ur,ag/ag_i18_ur,ag/ag_i20_ur,ag/ag_i22_ur,ag/ag_i24_ur,ag/ag_i26_ur,ag/ag_i28_ur,ag/ag_i30_ur,ag/ag_i32_ur
resnet152_cutmix,0.4875,0.0625,0.0625,0.0625,0.0625,0.05625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.05625,0.05625,0.0625,0.05625,0.05625,0.0625,0.06875,0.06875,0.0625,0.075,0.06875,0.06875,0.06875,0.09375,0.06875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.06875,0.0625,0.0625,0.05625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
resnext_cutmix,0.55625,0.075,0.125,0.15625,0.1,0.05625,0.09375,0.05625,0.08125,0.0625,0.08125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.075,0.0875,0.0625,0.0875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.1625,0.0625,0.0625,0.06875,0.0875,0.0625,0.0625,0.0625,0.10625,0.05,0.08125,0.10625,0.0625,0.0625,0.0625,0.0625,0.1625,0.0625,0.0625,0.0625,0.075,0.06875,0.0625,0.05625,0.08125,0.06875,0.06875,0.06875,0.0625,0.0625,0.075,0.0625
resnet50_cutout,0.475,0.06875,0.0625,0.05625,0.0625,0.05,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.075,0.0625,0.0625,0.0625,0.0625,0.0625,0.05625,0.00625,0.04375,0.06875,0.0625,0.05625,0.05625,0.0625,0.0625,0.0625,0.075,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.03125,0.0625,0.04375,0.05625,0.0625,0.0625,0.0625
resnet50_mixup,0.475,0.06875,0.0875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.08125,0.06875,0.06875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.09375,0.075,0.0625,0.0625,0.0875,0.06875,0.03125,0.05,0.0625,0.0625,0.04375,0.0375,0.0625,0.05625,0.0625,0.05625,0.09375,0.0875,0.0625,0.0625,0.01875,0.04375,0.025,0.06875,0.05625,0.05,0.0625,0.0625,0.06875,0.0625,0.0625,0.05
resnet50_manifold_mixup,0.51875,0.06875,0.1125,0.1125,0.0625,0.0625,0.05,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.08125,0.0625,0.05625,0.05625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.13125,0.06875,0.0625,0.0625,0.0625,0.0375,0.05625,0.0625,0.0625,0.05625,0.0625,0.025,0.05,0.03125,0.04375,0.04375,0.13125,0.05625,0.0625,0.0625,0.0625,0.0625,0.08125,0.0625,0.06875,0.04375,0.0375,0.03125,0.04375,0.0625,0.0625,0.05
