,silhouettes,ag/ag_i2_hor,ag/ag_i4_hor,ag/ag_i6_hor,ag/ag_i8_hor,ag/ag_i10_hor,ag/ag_i12_hor,ag/ag_i14_hor,ag/ag_i16_hor,ag/ag_i18_hor,ag/ag_i20_hor,ag/ag_i22_hor,ag/ag_i24_hor,ag/ag_i26_hor,ag/ag_i28_hor,ag/ag_i30_hor,ag/ag_i32_hor,ag/ag_i2_ver,ag/ag_i4_ver,ag/ag_i6_ver,ag/ag_i8_ver,ag/ag_i10_ver,ag/ag_i12_ver,ag/ag_i14_ver,ag/ag_i16_ver,ag/ag_i18_ver,ag/ag_i20_ver,ag/ag_i22_ver,ag/ag_i24_ver,ag/ag_i26_ver,ag/ag_i28_ver,ag/ag_i30_ver,ag/ag_i32_ver,ag/ag_i2_ul,ag/ag_i4_ul,ag/ag_i6_ul,ag/ag_i8_ul,ag/ag_i10_ul,ag/ag_i12_ul,ag/ag_i14_ul,ag/ag_i16_ul,ag/ag_i18_ul,ag/ag_i20_ul,ag/ag_i22_ul,ag/ag_i24_ul,ag/ag_i26_ul,ag/ag_i28_ul,ag/ag_i30_ul,ag/ag_i32_ul,ag/ag_i2_ur,ag/ag_i4_ur,ag/ag_i6_ur,ag/ag_i8_ur,ag/ag_i10_ur,ag/ag_i12_ur,ag/ag_i14_ur,ag/ag_i16_ur,ag/ag_i18_ur,ag/ag_i20_ur,ag/ag_i22_ur,ag/ag_i24_ur,ag/ag_i26_ur,ag/ag_i28_ur,ag/ag_i30_ur,ag/ag_i32_ur
swin_large_patch4_window7_224,0.70625,0.05625,0.0625,0.0625,0.0625,0.06875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.08125,0.06875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.05625,0.09375,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.05625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
inception_v3,0.55,0.19375,0.0625,0.09375,0.10625,0.04375,0.06875,0.1,0.075,0.075,0.13125,0.14375,0.1,0.0625,0.05625,0.08125,0.04375,0.2625,0.06875,0.05625,0.05625,0.04375,0.00625,0.0625,0.05,0.09375,0.0875,0.1,0.075,0.09375,0.06875,0.0875,0.0625,0.19375,0.0875,0.06875,0.06875,0.0625,0.06875,0.05625,0.0625,0.08125,0.06875,0.0625,0.04375,0.08125,0.0625,0.09375,0.075,0.19375,0.04375,0.05,0.01875,0.05625,0.04375,0.06875,0.06875,0.075,0.0875,0.0625,0.04375,0.05625,0.03125,0.05,0.0625
inception_v4,0.46875,0.225,0.06875,0.08125,0.075,0.0625,0.075,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.15,0.01875,0.05625,0.0625,0.075,0.05625,0.04375,0.04375,0.05625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.21875,0.0625,0.0625,0.05625,0.075,0.0625,0.09375,0.0875,0.09375,0.09375,0.0875,0.075,0.1125,0.04375,0.0875,0.04375,0.21875,0.0625,0.0375,0.0875,0.0625,0.04375,0.0625,0.04375,0.08125,0.09375,0.05,0.075,0.04375,0.05625,0.075,0.09375
adv_inception_v3,0.34375,0.23125,0.08125,0.06875,0.08125,0.0625,0.0625,0.0625,0.0625,0.05625,0.05,0.06875,0.0875,0.06875,0.0625,0.05625,0.05,0.075,0.0375,0.1,0.06875,0.1375,0.1,0.09375,0.1125,0.125,0.08125,0.10625,0.075,0.075,0.10625,0.1,0.05,0.2625,0.06875,0.13125,0.0875,0.0625,0.06875,0.06875,0.11875,0.0875,0.06875,0.1,0.0625,0.09375,0.05625,0.0625,0.0625,0.2625,0.0625,0.08125,0.06875,0.0625,0.0625,0.05,0.05625,0.0625,0.0625,0.0625,0.05625,0.0625,0.05,0.0625,0.05
ens_adv_inception_resnet_v2,0.56875,0.3,0.1,0.15,0.0875,0.13125,0.05625,0.1125,0.0625,0.075,0.0625,0.08125,0.06875,0.0625,0.06875,0.0625,0.06875,0.15625,0.05,0.06875,0.05625,0.05625,0.0625,0.06875,0.05625,0.0625,0.08125,0.08125,0.06875,0.09375,0.06875,0.075,0.04375,0.2875,0.0625,0.06875,0.06875,0.06875,0.08125,0.11875,0.08125,0.0875,0.1,0.0875,0.09375,0.08125,0.09375,0.0875,0.0875,0.2875,0.0625,0.06875,0.10625,0.10625,0.06875,0.03125,0.04375,0.0625,0.0625,0.04375,0.0375,0.0625,0.05625,0.08125,0.05
gluon_inception_v3,0.5625,0.15,0.0625,0.1375,0.06875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.225,0.05625,0.05,0.0375,0.05625,0.0625,0.0625,0.0625,0.06875,0.0625,0.075,0.0625,0.0875,0.06875,0.08125,0.0625,0.2,0.0625,0.13125,0.075,0.1125,0.0625,0.05,0.0625,0.0875,0.08125,0.075,0.0875,0.05625,0.05625,0.05625,0.05625,0.2,0.06875,0.1625,0.0625,0.125,0.0875,0.06875,0.0875,0.09375,0.0625,0.05,0.0625,0.0375,0.0625,0.0625,0.0625
inception_resnet_v2,0.525,0.2625,0.10625,0.15,0.06875,0.08125,0.0625,0.0625,0.0625,0.06875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.33125,0.1375,0.13125,0.0625,0.0875,0.0625,0.0625,0.0625,0.06875,0.0625,0.0625,0.0625,0.0625,0.0625,0.06875,0.0625,0.20625,0.075,0.1125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.06875,0.0625,0.0625,0.20625,0.09375,0.08125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
