,silhouettes,ag/ag_i2_hor,ag/ag_i4_hor,ag/ag_i6_hor,ag/ag_i8_hor,ag/ag_i10_hor,ag/ag_i12_hor,ag/ag_i14_hor,ag/ag_i16_hor,ag/ag_i18_hor,ag/ag_i20_hor,ag/ag_i22_hor,ag/ag_i24_hor,ag/ag_i26_hor,ag/ag_i28_hor,ag/ag_i30_hor,ag/ag_i32_hor,ag/ag_i2_ver,ag/ag_i4_ver,ag/ag_i6_ver,ag/ag_i8_ver,ag/ag_i10_ver,ag/ag_i12_ver,ag/ag_i14_ver,ag/ag_i16_ver,ag/ag_i18_ver,ag/ag_i20_ver,ag/ag_i22_ver,ag/ag_i24_ver,ag/ag_i26_ver,ag/ag_i28_ver,ag/ag_i30_ver,ag/ag_i32_ver,ag/ag_i2_ul,ag/ag_i4_ul,ag/ag_i6_ul,ag/ag_i8_ul,ag/ag_i10_ul,ag/ag_i12_ul,ag/ag_i14_ul,ag/ag_i16_ul,ag/ag_i18_ul,ag/ag_i20_ul,ag/ag_i22_ul,ag/ag_i24_ul,ag/ag_i26_ul,ag/ag_i28_ul,ag/ag_i30_ul,ag/ag_i32_ul,ag/ag_i2_ur,ag/ag_i4_ur,ag/ag_i6_ur,ag/ag_i8_ur,ag/ag_i10_ur,ag/ag_i12_ur,ag/ag_i14_ur,ag/ag_i16_ur,ag/ag_i18_ur,ag/ag_i20_ur,ag/ag_i22_ur,ag/ag_i24_ur,ag/ag_i26_ur,ag/ag_i28_ur,ag/ag_i30_ur,ag/ag_i32_ur
inception_v3,0.5375,0.19375,0.125,0.09375,0.0875,0.0625,0.06875,0.05,0.04375,0.0625,0.1,0.1375,0.1125,0.08125,0.075,0.0875,0.075,0.18125,0.05625,0.04375,0.05,0.04375,0.05,0.01875,0.05,0.1,0.08125,0.09375,0.06875,0.0875,0.05625,0.075,0.0625,0.1375,0.06875,0.06875,0.05625,0.0625,0.05625,0.06875,0.0625,0.0875,0.0625,0.05,0.05625,0.04375,0.05625,0.06875,0.075,0.1375,0.04375,0.075,0.0625,0.05625,0.05625,0.08125,0.075,0.1,0.075,0.1,0.075,0.06875,0.0625,0.06875,0.08125
googlenet,0.5,0.0625,0.04375,0.0625,0.05625,0.0625,0.0625,0.0625,0.05625,0.05625,0.08125,0.09375,0.075,0.0625,0.11875,0.05625,0.08125,0.13125,0.05,0.0625,0.05625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.06875,0.0625,0.0625,0.0625,0.09375,0.06875,0.0625,0.0625,0.05625,0.075,0.08125,0.0625,0.04375,0.0625,0.06875,0.05,0.05625,0.05625,0.0625,0.05625,0.09375,0.10625,0.0625,0.075,0.06875,0.0625,0.05625,0.0625,0.0625,0.05625,0.0375,0.0625,0.04375,0.04375,0.0625,0.0625
shufflenet_v2_x0_5,0.36875,0.0625,0.0625,0.025,0.0625,0.01875,0.10625,0.03125,0.0625,0.05625,0.0625,0.025,0.0625,0.05,0.01875,0.0375,0.0625,0.06875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.11875,0.0625,0.125,0.0625,0.1125,0.0625,0.10625,0.0625,0.0875,0.0625,0.1,0.1,0.1,0.06875,0.06875,0.075,0.11875,0.0875,0.10625,0.0625,0.1,0.0625,0.1125,0.0625,0.05625,0.0625,0.025,0.0625,0.03125,0.0625,0.04375,0.0625
shufflenet_v2_x1_0,0.39375,0.08125,0.04375,0.0625,0.0625,0.1,0.06875,0.09375,0.0625,0.0625,0.0625,0.075,0.05625,0.03125,0.08125,0.04375,0.10625,0.05625,0.08125,0.0625,0.06875,0.06875,0.0625,0.05,0.0625,0.0625,0.10625,0.075,0.09375,0.05625,0.0625,0.0625,0.0625,0.0375,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.08125,0.0625,0.04375,0.0625,0.0625,0.0625,0.05,0.0625,0.08125,0.0375,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.05,0.04375,0.0625,0.04375,0.0375,0.06875,0.075
mobilenet_v2,0.46875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0875,0.0625,0.075,0.0625,0.04375,0.0625,0.05625,0.0875,0.075,0.05,0.0625,0.0625,0.0625,0.08125,0.0625,0.08125,0.0625,0.1125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.08125,0.0625,0.0625,0.0625,0.0625,0.05,0.0625,0.0625,0.1125,0.06875,0.05625,0.06875,0.075,0.06875,0.0625,0.05625,0.05625,0.0625,0.0625,0.0625,0.0625,0.04375,0.0625,0.06875,0.0625,0.05625,0.0625,0.05,0.06875,0.0625,0.0625,0.0625,0.04375
mobilenet_v3_large,0.53125,0.06875,0.0625,0.0625,0.0625,0.05,0.0625,0.05625,0.0625,0.0625,0.05625,0.0625,0.0,0.0625,0.0625,0.0625,0.01875,0.0625,0.04375,0.0375,0.0625,0.0625,0.0625,0.075,0.03125,0.0625,0.0625,0.06875,0.0625,0.0625,0.0625,0.06875,0.0625,0.11875,0.05,0.1125,0.0625,0.10625,0.05625,0.0875,0.0625,0.025,0.05625,0.04375,0.06875,0.03125,0.05625,0.01875,0.0625,0.11875,0.0375,0.05,0.0875,0.125,0.08125,0.1,0.04375,0.05,0.0625,0.06875,0.0625,0.05,0.0625,0.05,0.0625
mobilenet_v3_small,0.475,0.06875,0.075,0.03125,0.0625,0.075,0.075,0.0625,0.0625,0.11875,0.0625,0.09375,0.0625,0.0625,0.05625,0.05625,0.0625,0.09375,0.0875,0.0625,0.0625,0.0125,0.09375,0.025,0.09375,0.0125,0.0375,0.0375,0.01875,0.01875,0.025,0.0375,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.05,0.0625,0.0625,0.0625,0.0625,0.0625,0.06875,0.0625,0.06875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.075,0.0875
resnext50_32x4d,0.5375,0.0625,0.08125,0.06875,0.1125,0.0625,0.0625,0.05625,0.05,0.0625,0.04375,0.0625,0.05625,0.06875,0.1,0.075,0.0625,0.08125,0.11875,0.05,0.06875,0.0625,0.09375,0.06875,0.05625,0.0875,0.0625,0.075,0.0625,0.0875,0.075,0.05625,0.0625,0.06875,0.05,0.0625,0.00625,0.0375,0.0625,0.06875,0.00625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.05625,0.06875,0.05625,0.0875,0.03125,0.06875,0.0625,0.06875,0.0625,0.075,0.0625,0.0625,0.0625,0.05625,0.06875,0.05,0.05
resnext101_32x8d,0.5625,0.0625,0.0625,0.0625,0.05625,0.05625,0.01875,0.0875,0.025,0.04375,0.04375,0.1,0.05625,0.10625,0.075,0.08125,0.08125,0.0625,0.06875,0.08125,0.05625,0.15625,0.0625,0.0875,0.04375,0.075,0.06875,0.09375,0.05625,0.0875,0.075,0.0875,0.08125,0.1,0.0625,0.10625,0.09375,0.06875,0.0625,0.0625,0.06875,0.06875,0.06875,0.09375,0.075,0.08125,0.0375,0.075,0.04375,0.1,0.06875,0.0625,0.0625,0.0625,0.0625,0.06875,0.075,0.08125,0.10625,0.08125,0.0875,0.075,0.10625,0.0875,0.08125
wide_resnet50_2,0.5125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.08125,0.0875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0875,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
